id,popularity,budget,revenue,original_title,director,runtime,genres,vote_count,vote_average,release_year
9040,0.50142,3000000,29800000,serpico,sidney lumet,129,crime|drama|history,200,7.3,1973
27331,0.420768,1800000,610986,charley varrick,don siegel,111,action|crime|drama|thriller,21,6.8,1973
11293,0.419331,2500000,30900000,paper moon,peter bogdanovich,102,comedy|crime|drama,50,7.7,1973
2926,0.412189,1800000,22018000,the three musketeers,richard lester,105,action|adventure|comedy|drama,32,7.0,1973
1847,0.392936,1700000,959000,the long goodbye,robert altman,113,thriller|crime|drama|mystery,45,7.0,1973
11577,0.384763,4638783,11000000,pat garrett & billy the kid,sam peckinpah,106,western,18,7.4,1973
17897,0.38388,1800000,11000000,the golden voyage of sinbad,gordon hessler,105,action|adventure|drama|family|fantasy,15,6.3,1973
16180,0.378597,1800000,610986,the legend of hell house,john hough,95,horror|mystery,22,6.5,1973
14886,0.240731,2300000,10000000,the last detail,hal ashby,103,comedy|drama,32,6.8,1973
15171,0.359048,1800000,5232000,charlotte's web,charles a. nichols|iwao takamoto,94,animation|drama|family,59,6.3,1973
30708,0.355622,1800000,610986,cahill u.s. marshal,andrew v. mclaglen,103,drama|western,11,5.0,1973
3133,0.339193,450000,610986,badlands,terrence malick,94,crime|drama,116,7.3,1973
22021,0.338084,500000,610986,coffy,jack hill ,91,action|adventure|drama,20,7.1,1973
53868,0.318061,1800000,610986,the vault of horror,roy ward baker,83,horror,12,6.5,1973
22307,0.257127,500000,1000000,sisters,brian de palma,93,horror|thriller,21,7.0,1973
40682,0.244874,1800000,610986,the train robbers,burt kennedy,92,action|western,13,6.8,1973
13479,0.238043,1800000,610986,a charlie brown thanksgiving,bill melendez|phil roman,25,animation|comedy|family,23,7.6,1973
25473,0.420585,1800000,610986,walking tall,phil karlson,125,action|crime|drama,12,6.4,1973
3117,0.203942,1800000,610986,frankenstein and the monster from hell,terence fisher,93,horror|science fiction,10,6.7,1973
8327,0.200129,750000,610986,the holy mountain,alejandro jodorowsky,114,drama,59,7.4,1973
26332,0.251582,1800000,610986,electra glide in blue,james william guercio,114,thriller|crime|drama|mystery,10,6.1,1973
25680,0.272663,1800000,610986,the friends of eddie coyle,peter yates,102,crime|drama,15,6.9,1973
10236,0.385313,1800000,45000000,the way we were,sydney pollack,118,drama|romance,36,6.9,1973
43003,0.021941,1800000,610986,vã©ritã©s et mensonges,orson welles,89,documentary,31,7.0,1973
32615,0.175339,1800000,610986,the offence,sidney lumet,112,drama|crime,16,7.3,1973
35669,0.162168,1800000,544476,the satanic rites of dracula,alan gibson,87,horror,11,4.8,1973
70345,0.145079,1800000,610986,sssssss,bernard l. kowalski,99,horror|science fiction,13,6.5,1973
24923,0.144305,1800000,610986,messiah of evil,willard huyck|gloria katz,90,mystery|horror,14,6.9,1973
26015,0.143165,1800000,610986,don't be afraid of the dark,john newland,74,tv movie|horror,10,5.9,1973
32080,0.139385999999999,1800000,610986,the seven-ups,philip d'antoni,103,action|thriller|drama|crime,13,6.6,1973
31587,0.135693,1800000,610986,scarecrow,jerry schatzberg,112,drama|thriller,20,6.5,1973
16307,0.396864,810000,610986,the wicker man,robin hardy,99,horror|thriller|mystery,143,6.7,1973
3043,0.11138,450000,610986,flesh for frankenstein,paul morrissey,95,horror,12,4.8,1973
29425,0.106051,275000,610986,the crazies,george a. romero,103,action|drama|horror|thriller,21,6.0,1973
26331,0.09398,1800000,2200000,the last of sheila,herbert ross,120,drama|thriller|crime|mystery,11,6.9,1973
28498,0.069999,1800000,1000000,theatre of blood,douglas hickox,104,comedy|horror,17,6.8,1973
28110,0.066994,1000000,2000000,dillinger,john milius,107,action|crime|drama,10,6.7,1973
10112,1.936962,4000000,55675257,the aristocats,wolfgang reitherman,78,animation|comedy|family|adventure,625,7.0,1970
1685,0.797231,3000000,18999718,beneath the planet of the apes,ted post,95,adventure|science fiction|mystery,163,5.9,1970
651,0.717333,3500000,81600000,mash,robert altman,116,comedy|drama|war,126,6.8,1970
11589,0.492877,4000000,5200000,kelly's heroes,brian g. hutton,144,action|adventure|comedy|drama|war,80,6.7,1970
29748,0.490192,1800000,610986,taste the blood of dracula,peter sasdy,95,horror,13,6.4,1970
11202,0.467344,12000000,89800000,patton,franklin j. schaffner,172,drama|history|war,188,6.9,1970
9062,0.396028,2200000,136400000,love story,arthur hiller,99,drama|romance,56,6.6,1970
38953,0.3881,1800000,610986,ryan's daughter,david lean,195,drama|romance,10,7.0,1970
11165,0.381352,25485000,29548291,tora! tora! tora!,richard fleischer|kinji fukasaku|toshio masuda,144,history|action|drama|adventure|war,93,6.6,1970
5722,0.374514,2090000,40000000,beyond the valley of the dolls,russ meyer,109,comedy|drama|thriller,19,6.2,1970
11916,0.568645,2500000,5050000,two mules for sister sara,don siegel,116,western,54,6.3,1970
4255,0.344172,5000,610986,the party at kitty and stud's,morton lewis,71,Comedy|Drama,10,3.0,1970
10671,0.336237,10000000,100489151,airport,george seaton,137,action|drama|thriller,33,6.2,1970
2998,0.279079,7000000,900000,zabriskie point,michelangelo antonioni,110,drama|romance,30,6.5,1970
42594,0.330846,1800000,610986,scream and scream again,gordon hessler,95,horror|crime,10,6.4,1970
13400,0.318475,1800000,610986,santa claus is comin' to town,"jules bass|arthur rankin, jr.",48,tv movie|animation|family|fantasy,24,6.5,1970
10364,0.299819,18000000,24911670,catch-22,mike nichols,121,war|comedy|drama,30,6.7,1970
11040,0.290174,15000000,31559552,little big man,arthur penn,139,action|comedy|drama|western,44,7.2,1970
14801,0.284436,1800000,610986,colossus: the forbin project,joseph sargent,100,science fiction|thriller,17,6.6,1970
14384,0.281532,1800000,610986,soldier blue,ralph nelson,112,action|drama|romance|western,18,7.1,1970
24918,0.268472,1800000,610986,the twelve chairs,mel brooks,94,comedy,10,6.1,1970
13765,0.42443,1800000,610986,scrooge,ronald neame,113,fantasy|drama|family,17,5.8,1970
5620,0.250313,1800000,610986,"nachts, wenn dracula erwacht",jesãºs franco,98,horror,10,6.4,1970
26606,0.244412,1800000,610986,performance,nicolas roeg|donald cammell,101,music|drama|crime,24,6.2,1970
26617,0.218311,1800000,18099091,five easy pieces,bob rafelson,98,drama,42,6.8,1970
23506,0.20907,60000,610986,the wizard of gore,herschell gordon lewis,95,horror,12,4.3,1970
9459,0.203225,600000,34505110,woodstock,michael wadleigh,225,documentary|music,33,6.2,1970
